PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
48,31,882,1-1-36-155,155,Bokundara,බෝකුන්දර,‍‍போகுந்தர,575
48,32,883,1-1-36-160,160,Thumbovila South,තුම්බෝවිල දකුණ,தும்‍போவில தெற்கு,576B
48,33,884,1-1-36-165,165,Thumbovila North,තුම්බෝවිල උතුර,தும்‍போவில வடக்கு,576A
48,34,885,1-1-36-170,170,Wewala West,වෑවල බටහිර,‍‍வேவள ‍மேற்கு,562B
48,35,886,1-1-36-175,175,Wewala East,වෑවල නැගෙනහිර,‍‍வேவள கிழக்கு,562
48,36,887,1-1-36-180,180,Thumbovila West,තුම්බෝවිල බටහිර,தும்‍போவில ‍மேற்கு,576
48,37,888,1-1-36-185,185,Mampe North,මාම්පේ උතුර,மாம்‍பே வடக்கு,574A
48,38,889,1-1-36-190,190,Makuludoowa,මකුළුදූව,மகுளுதூவ,583
48,39,890,1-1-36-195,195,Gorakapitiya,ගොරකපිටිය,கொரகாபிட்டிய,584
48,40,891,1-1-36-200,200,Nampamunuwa,නාම්පමුණුව,நாம்பமுணுவ,584A
48,41,892,1-1-36-205,205,Mavittara North,මාවිත්තර උතුර,மாவித்தர வடக்கு,586A
48,42,893,1-1-36-210,210,Mampe East,මාම්පේ නැගෙනහිර,மாம்‍பே கிழக்கு,574D
48,43,894,1-1-36-215,215,Bodhirajapura,බෝධිරාජපුර,‍‍போதிராஜபுர,577B
48,44,895,1-1-36-220,220,Mampe West,මාම්පේ බටහිර,மாம்‍பே ‍மேற்கு,574
48,45,896,1-1-36-225,225,Mampe South,මාම්පේ දකුණ,மாம்‍பே தெற்கு,574C
48,46,897,1-1-36-230,230,Kolamunna,කොළමුන්න,கொளமுண்ண,563/73A
48,47,898,1-1-36-235,235,Suwarapola East,සුවාරපොළ නැගෙනහිර,சுவரபொல கிழக்கு,562A
48,48,899,1-1-36-240,240,Suwarapola West,සුවාරපොළ බටහිර,சுவரபொல ‍மேற்கு,562C
48,49,900,1-1-36-245,245,Hedigama,හැඩිගම,ஹெதிகம,563/73
48,50,901,1-1-36-250,250,Batakettara North,බටකැත්තර උතුර,பட்டகெத்தர வடக்கு,565
48,51,902,1-1-36-255,255,Kesbewa North,කැසබෑව උතුර,கெஸ்‍பேவ வடக்கு,572
